Disease,Description
Fungal infection,A common skin condition caused by fungi - often resulting in itching and rashes
Allergy,An immune system reaction to a foreign substance such as pollen - food - or medication
GERD,Gastroesophageal Reflux Disease is a digestive disorder affecting the lower esophageal sphincter - causing acid reflux
Chronic cholestasis,A prolonged reduction in bile flow from the liver - leading to jaundice and other complications
Drug Reaction,An adverse reaction by the body to a medication - ranging from mild to severe effects
Peptic ulcer disease,Sores that develop on the lining of the stomach or small intestine - often due to H. pylori infection or NSAIDs
AIDS,Acquired Immunodeficiency Syndrome caused by HIV - leading to severe immune system compromise
Diabetes,A chronic condition affecting the body's ability to regulate blood sugar levels
Gastroenteritis,Inflammation of the stomach and intestines - typically caused by infection with a virus or bacteria
Bronchial Asthma,A respiratory condition involving airway inflammation - causing difficulty breathing and wheezing
Hypertension,High blood pressure - a common condition increasing the risk of heart disease and stroke
Migraine,A neurological condition characterized by severe headaches - often accompanied by nausea and sensitivity to light
Cervical spondylosis,Degenerative changes in the cervical spine - leading to neck pain and stiffness
Paralysis,Loss of muscle function due to bleeding in the brain - often caused by stroke or trauma
Jaundice,A yellow discoloration of the skin and eyes - typically indicating liver or bile duct problems
Malaria,A mosquito-borne disease caused by Plasmodium parasites - leading to fever - chills - and anemia
Chicken pox,A contagious viral infection causing an itchy rash and red spots all over the body
Dengue,A mosquito-borne viral infection causing high fever - severe headache - and joint pain
Typhoid,A bacterial infection leading to high fever - abdominal pain - and gastrointestinal symptoms
Hepatitis A,A viral liver infection usually transmitted through contaminated food or water
Hepatitis B,A viral infection that can cause acute or chronic liver disease
Hepatitis C,A viral infection causing chronic liver inflammation and damage
Hepatitis D,A liver infection requiring co-infection with Hepatitis B
Hepatitis E,A viral infection causing liver inflammation - often spread through contaminated water
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption
Tuberculosis,A bacterial infection primarily affecting the lungs - leading to cough - fever - and weight loss
Common Cold,A viral infection of the upper respiratory tract causing congestion - sneezing - and sore throat
Pneumonia,Inflammation of the air sacs in the lungs due to infection - causing cough and difficulty breathing
Dimorphic hemorrhoids,Swollen and inflamed veins in the rectum or anus - leading to discomfort and bleeding
Heart attack,A sudden reduction in blood flow to the heart muscle - causing chest pain and other symptoms
Varicose veins,Enlarged and twisted veins - often appearing in the legs - caused by weak vein walls or valves
Hypothyroidism,A condition where the thyroid gland produces insufficient thyroid hormones
Hyperthyroidism,A condition where the thyroid gland produces excessive thyroid hormones
Hypoglycemia,Abnormally low blood sugar levels - leading to shakiness - sweating - and confusion
Osteoarthritis,A degenerative joint disease causing cartilage breakdown and joint pain
Arthritis,Inflammation of the joints - leading to pain - stiffness - and reduced mobility
Vertigo,A type of dizziness triggered by specific head movements
Acne,A skin condition where hair follicles become clogged with oil and dead skin cells - causing pimples
Urinary tract infection,An infection in any part of the urinary system - causing pain and frequent urination
Psoriasis,A chronic autoimmune skin condition causing red - scaly patches on the skin
Impetigo,A contagious skin infection causing red sores that rupture and form a yellow crust
